,İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Yapı Tipi,Net Metrekare,Brüt Metrekare,Salon Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Aidat,Kira Getirisi,Banyo Sayısı,WC Sayısı,Site İçerisinde,Eşya Durumu,Kullanım Durumu,Fiyat Durumu,Yapı Durumu,Krediye Uygunluk,Yatırıma Uygunluk,Takas,Fiyat
169,9228053,11 Şubat 2021,11 Şubat 2021,Konut,Satılık,Belirtilmemiş,110 m2,130 m2,Belirtilmemiş,3+1,20 Ve Üzeri,7. Kat,7,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Kiracı Oturuyor,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Bilinmiyor,Yok,"745,000TL"
170,9227968,11 Şubat 2021,15 Şubat 2021,Konut,Satılık,Betonarme,96 m2,130 m2,Belirtilmemiş,3+1,2,9. Kat,10,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Boş,Genel Fiyat,İkinci El,Krediye Uygun,Belirtilmemiş,Var,"3,500,000TL"
171,9232329,12 Şubat 2021,12 Şubat 2021,Konut,Satılık,Belirtilmemiş,110 m2,150 m2,Belirtilmemiş,3+1,4,2. Kat,15,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Boş,Birim Fiyat,İkinci El,Krediye Uygun,Belirtilmemiş,Yok,"2,975,000TL"
172,9229766,12 Şubat 2021,12 Şubat 2021,Konut,Satılık,Belirtilmemiş,57 m2,80 m2,Belirtilmemiş,1+1,5-10,Düz Giriş,9,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Kiracı Oturuyor,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Bilinmiyor,Yok,"1,500,000TL"
173,9231387,12 Şubat 2021,12 Şubat 2021,Konut,Satılık,Belirtilmemiş,165 m2,200 m2,Belirtilmemiş,4+1,20 Ve Üzeri,9. Kat,9,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Boş,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Belirtilmemiş,Belirtilmemiş,"2,125,000TL"
174,9227529,11 Şubat 2021,18 Şubat 2021,Konut,Satılık,Betonarme,150 m2,180 m2,45 m2,4+1,5-10,2. Kat,4,Merkezi (Pay Ölçer),Belirtilmemiş,7.500 TL,2,Belirtilmemiş,Hayır,Boş,Boş,Genel Fiyat,İkinci El,Krediye Uygun,Belirtilmemiş,Yok,"2,775,000TL"
175,9228707,11 Şubat 2021,17 Şubat 2021,Konut,Satılık,Betonarme,128 m2,150 m2,40 m2,3+1,20 Ve Üzeri,1. Kat,7,Merkezi Doğalgaz,0 TL,3.700 TL,1,2,Hayır,Belirtilmemiş,Mal Sahibi Oturuyor,Genel Fiyat,İkinci El,Krediye Uygun,Yatırıma Uygun,Yok,"950,000TL"
176,9230350,12 Şubat 2021,19 Şubat 2021,Konut,Satılık,Betonarme,96 m2,125 m2,Belirtilmemiş,3+1,3,9. Kat,10,Merkezi (Pay Ölçer),300 TL,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Kiracı Oturuyor,Genel Fiyat,İkinci El,Krediye Uygun,Belirtilmemiş,Yok,"2,050,000TL"
177,9226719,11 Şubat 2021,11 Şubat 2021,Konut,Satılık,Belirtilmemiş,90 m2,110 m2,Belirtilmemiş,3+1,20 Ve Üzeri,3. Kat,9,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Boş,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Bilinmiyor,Yok,"1,985,000TL"
178,9226717,11 Şubat 2021,11 Şubat 2021,Konut,Satılık,Belirtilmemiş,145 m2,180 m2,Belirtilmemiş,4+1,5-10,2. Kat,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Boş,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Bilinmiyor,Yok,"2,775,000TL"
